"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","23-Jul-2018","         42.25","         41.95","         43.40","         41.95","         42.95","         42.95","         42.80","     512424","            21930617.40","       2168","     236673","         46.19"
"MANALIPETC","EQ","24-Jul-2018","         42.95","         43.40","         45.55","         43.20","         44.80","         45.05","         44.43","     888618","            39484031.80","       2814","     351585","         39.57"
"MANALIPETC","EQ","25-Jul-2018","         45.05","         44.65","         45.75","         43.60","         44.05","         44.05","         44.79","     698166","            31270579.10","       4299","     326054","         46.70"
"MANALIPETC","EQ","26-Jul-2018","         44.05","         44.35","         44.40","         43.65","         44.25","         44.10","         44.08","     352494","            15536884.95","       1209","     157074","         44.56"
"MANALIPETC","EQ","27-Jul-2018","         44.10","         43.95","         44.40","         43.70","         43.80","         43.95","         44.09","     364437","            16068120.50","       1640","     133380","         36.60"
"MANALIPETC","EQ","30-Jul-2018","         43.95","         43.95","         48.50","         43.95","         48.15","         47.95","         46.86","    1351263","            63322777.90","       4927","     561267","         41.54"
"MANALIPETC","EQ","31-Jul-2018","         47.95","         48.40","         48.65","         46.85","         47.90","         47.80","         47.80","     707056","            33797113.40","       2604","     291907","         41.28"
"MANALIPETC","EQ","01-Aug-2018","         47.80","         47.90","         48.90","         46.95","         47.20","         47.35","         47.68","     543232","            25900512.20","       2423","     154371","         28.42"
"MANALIPETC","EQ","02-Aug-2018","         47.35","         47.60","         49.80","         46.55","         49.50","         49.40","         48.45","    1051388","            50938197.75","       3723","     413186","         39.30"
"MANALIPETC","EQ","03-Aug-2018","         49.40","         49.85","         52.25","         49.75","         50.85","         50.95","         50.97","    1359407","            69284070.85","       5701","     547470","         40.27"
"MANALIPETC","EQ","06-Aug-2018","         50.95","         51.40","         51.90","         50.30","         51.60","         51.15","         51.10","     817466","            41768521.85","       3042","     370062","         45.27"
"MANALIPETC","EQ","07-Aug-2018","         51.15","         51.40","         51.95","         46.75","         47.55","         47.80","         48.88","    1744944","            85292484.15","       5911","     934934","         53.58"
"MANALIPETC","EQ","08-Aug-2018","         47.80","         48.15","         48.30","         43.05","         44.20","         44.05","         44.78","    3033277","           135822699.30","       8566","    1468756","         48.42"
"MANALIPETC","EQ","09-Aug-2018","         44.05","         44.50","         46.70","         44.05","         45.90","         46.00","         45.68","    1529514","            69863427.10","       4443","     708262","         46.31"
"MANALIPETC","EQ","10-Aug-2018","         46.00","         46.30","         47.25","         41.20","         41.75","         41.60","         43.35","    3505998","           151996556.60","      11340","    1520925","         43.38"
"MANALIPETC","EQ","13-Aug-2018","         41.60","         41.60","         42.05","         40.30","         41.65","         41.45","         41.18","    1043981","            42988683.65","       5331","     465241","         44.56"
"MANALIPETC","EQ","14-Aug-2018","         41.45","         41.80","         42.15","         41.30","         41.50","         41.55","         41.66","     561375","            23387111.75","       2318","     295378","         52.62"
"MANALIPETC","EQ","16-Aug-2018","         41.55","         41.45","         41.85","         40.20","         40.40","         40.45","         40.70","     650288","            26467156.05","       3047","     286747","         44.10"
