"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","BE","26-Jul-2021","         83.10","         84.75","         85.00","         83.10","         83.80","         83.65","         83.94","     547488","            45953850.95","       3995","-","-"
"MANALIPETC","BE","27-Jul-2021","         83.65","         83.20","         84.50","         82.00","         83.00","         82.70","         83.31","     228974","            19075089.45","       2014","-","-"
"MANALIPETC","BE","28-Jul-2021","         82.70","         83.00","         83.10","         80.70","         81.70","         81.60","         81.76","     312378","            25541070.80","       2192","-","-"
"MANALIPETC","BE","29-Jul-2021","         81.60","         82.35","         82.80","         81.00","         81.55","         81.45","         81.85","     198188","            16221336.85","       1665","-","-"
"MANALIPETC","BE","30-Jul-2021","         81.45","         82.35","         82.90","         81.00","         82.00","         81.25","         81.65","     384390","            31383932.20","       1786","-","-"
"MANALIPETC","BE","02-Aug-2021","         81.25","         83.15","         85.30","         82.00","         85.30","         85.30","         84.49","     583015","            49260953.35","       2011","-","-"
"MANALIPETC","BE","03-Aug-2021","         85.30","         89.55","         89.55","         89.00","         89.55","         89.55","         89.54","     561512","            50278312.85","       2663","-","-"
"MANALIPETC","BE","04-Aug-2021","         89.55","         94.00","         94.00","         90.50","         92.00","         92.65","         93.57","     881837","            82517191.70","       4046","-","-"
"MANALIPETC","BE","05-Aug-2021","         92.65","         93.80","         93.80","         88.05","         91.50","         91.20","         89.36","     870239","            77762979.90","       4298","-","-"
"MANALIPETC","BE","06-Aug-2021","         91.20","         91.50","         95.75","         91.00","         95.75","         95.75","         93.38","     874873","            81691802.45","       4906","-","-"
"MANALIPETC","BE","09-Aug-2021","         95.75","         99.90","        100.50","         98.00","        100.50","        100.50","        100.16","    1113975","           111570723.75","       6962","-","-"
"MANALIPETC","BE","10-Aug-2021","        100.50","        100.50","        103.95","         95.50","         96.45","         97.10","         98.30","    1924397","           189166631.40","      12697","-","-"
"MANALIPETC","BE","11-Aug-2021","         97.10","         96.00","         98.00","         92.25","         97.85","         97.00","         93.85","    1029639","            96630936.70","       7482","-","-"
"MANALIPETC","BE","12-Aug-2021","         97.00","         98.00","        101.50","         98.00","        101.40","        101.20","        100.04","     802832","            80317324.40","       6910","-","-"
"MANALIPETC","BE","13-Aug-2021","        101.20","        102.70","        104.00","         97.10","         99.00","         98.80","         99.86","     737316","            73629494.95","       5794","-","-"
"MANALIPETC","BE","16-Aug-2021","         98.80","         99.95","         99.95","         96.15","         97.15","         97.10","         97.24","     429665","            41778663.60","       5096","-","-"
"MANALIPETC","BE","17-Aug-2021","         97.10","         98.95","         98.95","         92.50","         94.00","         93.50","         94.31","     352184","            33213662.25","       4797","-","-"
"MANALIPETC","BE","18-Aug-2021","         93.50","         93.00","         95.00","         91.50","         93.10","         92.60","         93.72","     243207","            22794547.05","       3339","-","-"
