"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","24-Jul-2019","         21.85","         21.80","         21.95","         20.70","         21.00","         21.00","         21.07","     264244","             5567729.05","        922","     207952","         78.70"
"MANALIPETC","EQ","25-Jul-2019","         21.00","         20.75","         21.55","         20.75","         21.30","         21.20","         21.13","     170665","             3606764.80","        508","     117893","         69.08"
"MANALIPETC","EQ","26-Jul-2019","         21.20","         21.00","         21.60","         20.90","         21.60","         21.35","         21.23","      76054","             1614947.70","        377","      42467","         55.84"
"MANALIPETC","EQ","29-Jul-2019","         21.35","         21.10","         21.70","         21.10","         21.55","         21.55","         21.50","     109614","             2357110.55","        378","      78536","         71.65"
"MANALIPETC","EQ","30-Jul-2019","         21.55","         20.80","         21.10","         19.50","         19.85","         19.85","         20.38","     173488","             3534926.75","        861","     111697","         64.38"
"MANALIPETC","EQ","31-Jul-2019","         19.85","         19.85","         20.20","         19.10","         19.65","         19.70","         19.59","     208060","             4075531.65","        963","     115888","         55.70"
"MANALIPETC","EQ","01-Aug-2019","         19.70","         19.90","         20.05","         19.15","         19.30","         19.30","         19.53","     140039","             2734858.35","        580","      79413","         56.71"
"MANALIPETC","EQ","02-Aug-2019","         19.30","         19.00","         19.70","         18.90","         19.25","         19.25","         19.19","     118822","             2280443.35","        476","      81889","         68.92"
"MANALIPETC","EQ","05-Aug-2019","         19.25","         19.25","         19.25","         17.95","         18.20","         18.10","         18.40","     153325","             2820786.35","        779","     106656","         69.56"
"MANALIPETC","EQ","06-Aug-2019","         18.10","         17.70","         20.00","         17.70","         18.85","         18.95","         18.95","     264501","             5012213.60","       1074","     136374","         51.56"
"MANALIPETC","EQ","07-Aug-2019","         18.95","         18.50","         18.75","         18.20","         18.40","         18.30","         18.44","     247298","             4560475.45","        781","     139958","         56.59"
"MANALIPETC","EQ","08-Aug-2019","         18.30","         18.65","         18.65","         17.60","         18.20","         18.15","         18.09","     196012","             3546608.60","        708","     126769","         64.67"
"MANALIPETC","EQ","09-Aug-2019","         18.15","         18.15","         19.10","         18.15","         18.35","         18.40","         18.65","     284889","             5312387.55","       1007","     168919","         59.29"
"MANALIPETC","EQ","13-Aug-2019","         18.40","         18.65","         19.80","         18.35","         18.60","         18.45","         18.83","     146741","             2762710.40","        578","      81453","         55.51"
"MANALIPETC","EQ","14-Aug-2019","         18.45","         18.85","         18.90","         18.35","         18.75","         18.65","         18.64","      59573","             1110358.35","        274","      44147","         74.11"
"MANALIPETC","EQ","16-Aug-2019","         18.65","         19.00","         19.00","         18.50","         18.70","         18.70","         18.69","      52649","              984123.20","        315","      30403","         57.75"
"MANALIPETC","EQ","19-Aug-2019","         18.70","         18.85","         18.95","         18.55","         18.60","         18.65","         18.70","      46336","              866528.45","        236","      34313","         74.05"
"MANALIPETC","EQ","20-Aug-2019","         18.65","         18.95","         18.95","         18.10","         18.10","         18.15","         18.34","      60467","             1108757.15","        310","      41570","         68.75"
"MANALIPETC","EQ","21-Aug-2019","         18.15","         18.45","         18.45","         16.90","         17.25","         17.35","         17.49","     115914","             2027596.25","        637","      70855","         61.13"
"MANALIPETC","EQ","22-Aug-2019","         17.35","         17.10","         17.45","         16.75","         16.95","         16.95","         17.12","     138125","             2364745.45","        631","      92559","         67.01"
"MANALIPETC","EQ","23-Aug-2019","         16.95","         17.30","         17.30","         16.00","         16.80","         16.70","         16.56","     176356","             2920650.35","        700","      99775","         56.58"
"MANALIPETC","EQ","26-Aug-2019","         16.70","         17.25","         17.50","         16.65","         17.30","         17.35","         17.03","      87898","             1496973.25","        477","      51411","         58.49"
